id;adresse;ville;pays;description;prix_par_nuit
1;gladly backbone optimal;arise;loftily pastel since;bah whoever weepy;188.79
2;agenda fulfill workforce;gee extrapolate;ouch war;minimise;32300.3
3;nor embarrassed but;out even;reassess;elegantly dawn;7405.07
4;blah secretion;accidentally produce;scholarship;knife;28991.46
5;hackwork lightly orderly;boo;into throughout soon;consequently furthermore smart;11361.13
6;brr giddy;imperfect;into;fooey;28999.52
7;blood counsel notwithstanding;keenly smell;waterproof honest;dredger donation;26252.12
8;foolishly;than hull;span;hefty nor;17062.27
9;around;outside whether;hungry;because toward;24231.79
10;silently equal;at uh-huh;reject confound for;pasta gah;16100.76
