id;nom;description;type;statut
1;debris drat euphoric;gratefully finally reckless;VOITURE;DISPONIBLE
2;jaggedly clank;between;VOITURE;RESERVE
3;strawman usefully;very yuck where;MAISON;DISPONIBLE
4;angrily mitigate stash;textual commonly triad;MAISON;VOLE
5;automatic;who;MAISON;DISPONIBLE
6;than whereas;besides among;VOITURE;RESERVE
7;awkward inside that;sombrero after;ELECTRONIQUE;RESERVE
8;certificate candid;bracelet ugh;ELECTRONIQUE;VOLE
9;coaxingly how;frilly mortise indeed;ELECTRONIQUE;VOLE
10;a show spool;intently;ELECTRONIQUE;RESERVE
