id;ville_depart;ville_arrivee;date_depart;nombre_places_disponibles
1;utter;circulate over;2024-05-27T04:45:19;1435
2;inside;badly;2024-05-27T02:02:32;15982
3;unto ha;ah;2024-05-27T07:26:03;10496
4;lest beside thoroughly;gadzooks drone;2024-05-27T15:47:10;20314
5;yet;coat;2024-05-27T07:03:10;23221
6;tracksuit clearly;navigation joyously;2024-05-27T06:42:37;25561
7;gladly gifted cannon;possess protein annually;2024-05-27T05:06:38;11376
8;glimmering fiddle who;curvy whereas distortion;2024-05-26T23:03:24;6688
9;chain;meh harmful;2024-05-27T14:02:10;27877
10;ack profitable;so;2024-05-27T02:23:40;15384
